English,Hebrew
You don't have permission to update this document,אין לך הרשאה לעדכן מסמך זה
assistant,עוזר
day,יום
hour,שעה
lot,חלקה
m,מ'
m2,מ"ר
m3,מ"ק
rb,ר"ב
unit,יחידה
